Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Management experience,Number of subordinates,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
655359322b25eb063b84faaa,5c3b07f0688b59000102d44e,APPROVED,2023-11-14T11:26:53.303000Z,2023-11-14T11:33:33.418000Z,2023-11-14T11:33:33.976000Z,2023-11-14T11:33:33.912055Z,401.0,C1LD3MFD,1026,"German, English",Yes,>10,40,Female,White,Germany,Germany,Germany,German,No,Full-Time
65535f157c0313982a3c4be2,647e2500ac34cb60b8e1348d,APPROVED,2023-11-14T11:50:50.793000Z,2023-11-14T11:58:04.120000Z,2023-11-14T11:58:04.644000Z,2023-11-14T11:58:04.585188Z,434.0,C1LD3MFD,269,"German, English",Yes,7-10,39,Male,White,Germany,Germany,Germany,German,No,Full-Time
65535fe61f67efe76807b708,5f23274c95e7ff0ba6391a95,APPROVED,2023-11-14T11:54:17.776000Z,2023-11-14T11:57:54.113000Z,2023-11-14T11:57:54.701000Z,2023-11-14T11:57:54.645399Z,217.0,C1LD3MFD,676,"English, German",Yes,2-3,36,Male,White,Germany,Germany,Germany,German,No,Full-Time
655360d1ecb83714d368f9c5,6467da9866656b457f1f35ae,APPROVED,2023-11-14T11:58:12.772000Z,2023-11-14T12:16:22.026000Z,2023-11-14T12:16:22.618000Z,2023-11-14T12:16:22.548562Z,1090.0,C1LD3MFD,317,"English, German",Yes,4-6,33,Male,White,Germany,Germany,Germany,German,No,Full-Time
655360d76e95a2e1d5df0912,653a743f3112ad79e0e9c2f3,APPROVED,2023-11-14T11:58:19.156000Z,2023-11-14T12:06:22.056000Z,2023-11-14T12:06:22.659000Z,2023-11-14T12:06:22.606273Z,483.0,C1LD3MFD,24,"English, German",Yes,2-3,28,Male,White,Germany,Germany,Germany,German,No,Full-Time
65536343e72331e96edd90a2,648099f11700d769a2e9034a,APPROVED,2023-11-14T12:08:47.763000Z,2023-11-14T12:14:45.798000Z,2023-11-14T12:14:46.416000Z,2023-11-14T12:14:46.371265Z,359.0,C1LD3MFD,291,"English, French, German",Yes,7-10,38,Male,Mixed,Germany,Germany,Germany,German,No,Full-Time
655363c0f5eda5711e7f80d4,6516f2a7d21c67a9a5bbb6ca,APPROVED,2023-11-14T12:10:43.135000Z,2023-11-14T12:15:06.135000Z,2023-11-14T12:15:06.685000Z,2023-11-14T12:15:06.622834Z,263.0,C1LD3MFD,15,"English, German",Yes,2-3,26,Male,White,Germany,Germany,Germany,English,No,Full-Time
655365af4a296bf1590d94e3,5d6fda2bde432b0019b19ba7,APPROVED,2023-11-14T12:19:01.506000Z,2023-11-14T12:29:42.728000Z,2023-11-14T12:29:43.288000Z,2023-11-14T12:29:43.200056Z,642.0,C1LD3MFD,1261,"English, German",Yes,7-10,56,Male,White,Germany,Germany,Germany,German,No,Full-Time
6553672d80a29828c6a7d9eb,5ad477fc4d061300011b28ab,APPROVED,2023-11-14T12:25:21.321000Z,2023-11-14T12:29:40.998000Z,2023-11-14T12:29:41.540000Z,2023-11-14T12:29:41.501491Z,260.0,C1LD3MFD,256,"English, French, German",Yes,4-6,33,Male,White,Germany,Germany,Germany,German,No,Part-Time
65536cca22d53331f32aa7a8,63c08fa9f3882764b4e8e7dd,APPROVED,2023-11-14T12:49:17.792000Z,2023-11-14T12:52:11.904000Z,2023-11-14T12:52:12.466000Z,2023-11-14T12:52:12.403660Z,175.0,C1LD3MFD,459,"English, German",Yes,2-3,31,Male,White,Germany,Germany,Germany,German,No,Full-Time
655370aba0be54c05190486e,5b2285b50fbb830001080525,APPROVED,2023-11-14T13:05:50.771000Z,2023-11-14T13:12:29.241000Z,2023-11-14T13:12:30.024000Z,2023-11-14T13:12:29.987146Z,399.0,C1LD3MFD,849,"English, German",Yes,2-3,31,Male,White,Germany,Germany,Germany,German,No,Full-Time
655377e2293aa5ddf394f5ad,63eb720c64d95ef6918080f4,APPROVED,2023-11-14T13:36:38.619000Z,2023-11-14T13:40:26.922000Z,2023-11-14T13:40:27.414000Z,2023-11-14T13:40:27.328317Z,229.0,C1LD3MFD,313,"English, German",Yes,2-3,27,Male,White,Germany,Germany,Germany,German,Yes,Full-Time
655378dc97249bd90c107f56,6551f5f603b4710f1a943877,APPROVED,2023-11-14T13:40:53.187000Z,2023-11-14T13:51:48.276000Z,2023-11-14T13:51:48.874000Z,2023-11-14T13:51:48.814683Z,656.0,C1LD3MFD,3,English,Yes,2-3,59,Male,White,Germany,Germany,Germany,German,No,Full-Time
65537b482f57a04ea8003024,653d060aaf01dfc1443ad299,APPROVED,2023-11-14T13:51:07.148000Z,2023-11-14T13:55:36.451000Z,2023-11-14T13:55:37.074000Z,2023-11-14T13:55:36.994152Z,270.0,C1LD3MFD,23,"German, English, Turkish",Yes,>10,30,Male,Asian,Germany,Germany,Germany,German,Yes,Full-Time
65537cb665c97fc918219043,5d14bd7a49a18f0001e1e8b4,APPROVED,2023-11-14T13:57:16.218000Z,2023-11-14T14:05:57.359000Z,2023-11-14T14:05:58.086000Z,2023-11-14T14:05:58.007743Z,522.0,C1LD3MFD,319,"English, German",Yes,2-3,29,Male,White,Kazakhstan,Germany,Germany,German,No,Full-Time
65537d2b01d8e36c6a039fcd,63dea9d9fe7d5a66adf82aa6,APPROVED,2023-11-14T13:59:10.885000Z,2023-11-14T14:03:52.442000Z,2023-11-14T14:03:53.050000Z,2023-11-14T14:03:52.991565Z,282.0,C1LD3MFD,444,"German, English",Yes,2-3,33,Male,White,Germany,Germany,Germany,German,No,Full-Time
655347df4e3bc14629ff2069,6480b08b4e783b4c327cf4a8,REJECTED,2023-11-14T10:11:43.844000Z,2023-11-14T10:20:48.403000Z,2023-11-14T15:18:22.541000Z,2023-11-14T10:20:49.386000Z,545.0,CWXRQ7QL,296,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
655355dd5ada38c4fa409942,604b169fe4b7991ec08da3a6,TIMED-OUT,2023-11-14T11:11:25.766000Z,,,,33699.0,,2264,"English, German",Yes,4-6,32,Male,White,Russian Federation,Germany,Germany,German,No,Full-Time
65536eb39e022e15f14c7508,651d24fb72134a07d2708049,RETURNED,2023-11-14T12:57:23.631000Z,2023-11-14T13:00:59.805000Z,,2023-11-14T13:01:00.935000Z,,CWXRQ7QL,49,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
655373a925756a3b4c50acd3,653b3b617aeb17a94d9ac512,RETURNED,2023-11-14T13:18:43.269000Z,,,,,,8,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
