Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Management experience,Years of management experience,Number of subordinates,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65539fb887000051d287a53f,5ba16cc388ec69000112a59b,AWAITING REVIEW,2023-11-14T16:26:37.800000Z,2023-11-14T16:46:11.381000Z,,2023-11-14T16:46:11.890255Z,1174.0,C9B87HRO,800,Yes,3 - 4 years,2-3,31,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6553a655fa5c60fdc755be1e,6443ebb84fc33e703937a6f9,AWAITING REVIEW,2023-11-14T16:55:05.823000Z,2023-11-14T17:04:38.415000Z,,2023-11-14T17:04:48.946182Z,573.0,C9B87HRO,485,Yes,5+ years,>10,49,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6553a65bdaf4c015c804437c,63f6ac6d4ce41fa2a87ea79b,AWAITING REVIEW,2023-11-14T16:55:00.803000Z,2023-11-14T17:00:58.501000Z,,2023-11-14T17:01:04.360152Z,358.0,C9B87HRO,555,Yes,5+ years,2-3,50,Female,White,United States,United States,United States,English,No,Full-Time
6553a6d392a4b02b6bd9802b,63eec085b1d2e79ac4fbbd78,AWAITING REVIEW,2023-11-14T16:57:04.257000Z,2023-11-14T17:13:27.142000Z,,2023-11-14T17:13:27.693956Z,983.0,C9B87HRO,1197,Yes,5+ years,>10,53,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6553a75430215fc25412738b,60885dc6571926117732b41e,AWAITING REVIEW,2023-11-14T16:59:05.552000Z,2023-11-14T17:06:39.923000Z,,2023-11-14T17:06:50.357619Z,455.0,C9B87HRO,2972,Yes,5+ years,>10,49,Male,Black,United States,United States,United States,English,No,Full-Time
6553a7c3a4f420911ac4a16a,5f9b6cc0e01ad13902b38f60,AWAITING REVIEW,2023-11-14T17:01:05.550000Z,2023-11-14T17:05:07.346000Z,,2023-11-14T17:05:17.752021Z,242.0,C9B87HRO,4940,Yes,5+ years,>10,57,Male,White,United States,United States,United States,English,No,Full-Time
6553a8dcc80afb5a30e4bedd,62348c41368404b2ade8312b,AWAITING REVIEW,2023-11-14T17:06:28.157000Z,2023-11-14T17:10:42.613000Z,,2023-11-14T17:10:43.040865Z,255.0,C9B87HRO,3816,Yes,5+ years,7-10,67,Female,White,United States,United States,United States,English,No,Full-Time
6553a999dc75e16f2d0fc44a,5ba292385301b80001c71ba2,AWAITING REVIEW,2023-11-14T17:08:58.684000Z,2023-11-14T17:15:27.592000Z,,2023-11-14T17:15:28.056538Z,389.0,C9B87HRO,6987,Yes,5+ years,>10,50,Male,White,United States,United States,United States,English,No,Full-Time
6553aa30d96789360353cf77,6543b16f3b54508e4cf5c9c9,AWAITING REVIEW,2023-11-14T17:16:29.541000Z,2023-11-14T17:21:52.528000Z,,2023-11-14T17:21:52.974610Z,323.0,C9B87HRO,87,Yes,2 - 3 years,2-3,28,Male,White,United States,United States,United States,English,No,Full-Time
6553aa42f2e23eff9dea5572,62c84ca82b03c9aedbca4a2a,AWAITING REVIEW,2023-11-14T17:11:34.809000Z,2023-11-14T17:19:19.367000Z,,2023-11-14T17:19:19.839623Z,465.0,C9B87HRO,1362,Yes,5+ years,2-3,43,Female,White,United States,United States,United States,English,No,Full-Time
6553aa9dc8d09997a7679edc,5ff591cba89e1b000bfb9852,AWAITING REVIEW,2023-11-14T17:13:05.924000Z,2023-11-14T17:20:21.672000Z,,2023-11-14T17:20:22.291609Z,436.0,C9B87HRO,6810,Yes,5+ years,2-3,37,Male,White,United States,United States,United States,English,No,Full-Time
6553aaa6a315ecadace194a8,60cbabd69ddfb4d7243a1e38,AWAITING REVIEW,2023-11-14T17:13:13.726000Z,2023-11-14T17:31:27.352000Z,,2023-11-14T17:31:27.786440Z,1094.0,C9B87HRO,4310,Yes,5+ years,7-10,50,Male,White,United States,United States,United States,English,No,Full-Time
6553abc91afacdcdf70ea084,6533d8e82d29dfe51b1bea6a,AWAITING REVIEW,2023-11-14T17:18:06.018000Z,2023-11-14T17:22:48.975000Z,,2023-11-14T17:22:49.502699Z,283.0,C9B87HRO,99,Yes,2 - 3 years,>10,31,Male,Mixed,United States,United States,United States,English,No,Full-Time
6553abd421f6823892731de3,5d2f054b1dde3600015e43d9,AWAITING REVIEW,2023-11-14T17:18:30.782000Z,2023-11-14T17:34:17.649000Z,,2023-11-14T17:34:18.351435Z,947.0,C9B87HRO,4132,Yes,5+ years,>10,52,Male,White,United States,United States,United States,English,No,Full-Time
6553abeba42bd6f832fb0739,6413577c3565b8c76d846034,AWAITING REVIEW,2023-11-14T17:18:40.442000Z,2023-11-14T17:23:30.894000Z,,2023-11-14T17:23:31.385011Z,291.0,C9B87HRO,1607,Yes,3 - 4 years,4-6,30,Male,White,United States,United States,United States,English,No,Full-Time
6553abf62e0668ec84b22dce,5a54f0daac562400015388da,AWAITING REVIEW,2023-11-14T17:18:48.851000Z,2023-11-14T17:30:47.719000Z,,2023-11-14T17:30:48.290312Z,719.0,C9B87HRO,1762,Yes,5+ years,7-10,42,Female,White,United States,United States,United States,English,No,Full-Time
6553abfacefc5bdf51ee8983,6402682f1a17d6c87f4f3a89,AWAITING REVIEW,2023-11-14T17:18:54.567000Z,2023-11-14T17:24:57.725000Z,,2023-11-14T17:24:58.293159Z,364.0,C9B87HRO,2494,Yes,2 - 3 years,2-3,39,Male,White,United States,United States,United States,English,No,Full-Time
6553ac068a7a027af6f79498,627c31addc6adc20c3c7ee88,AWAITING REVIEW,2023-11-14T17:19:20.451000Z,2023-11-14T17:25:03.035000Z,,2023-11-14T17:25:03.819727Z,343.0,C9B87HRO,433,Yes,5+ years,>10,32,Female,White,United States,United States,United States,English,No,Full-Time
6553ac09d20def36445bbb9b,58509fbda6946500016117ed,AWAITING REVIEW,2023-11-14T17:25:13.645000Z,2023-11-14T17:28:17.981000Z,,2023-11-14T17:28:18.576575Z,185.0,C9B87HRO,4253,Yes,5+ years,4-6,38,Male,White,United States,United States,United States,English,No,Full-Time
6553ac0bd856dfb7811a4f9d,5a94c0b7b5e2110001c6891e,AWAITING REVIEW,2023-11-14T17:19:09.959000Z,2023-11-14T17:23:40.722000Z,,2023-11-14T17:23:41.216077Z,271.0,C9B87HRO,7494,Yes,5+ years,4-6,50,Male,Asian,Taiwan,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6553ac1da9d0492ca6935ad9,6148ea50509c9ce6c1f023c0,AWAITING REVIEW,2023-11-14T17:19:31.937000Z,2023-11-14T17:30:56.263000Z,,2023-11-14T17:30:56.669838Z,685.0,C9B87HRO,1053,Yes,5+ years,4-6,65,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
6553ac22ce48efa1110fc352,6042794fe3c49714bee3e9cf,AWAITING REVIEW,2023-11-14T17:19:35.400000Z,2023-11-14T17:25:17.365000Z,,2023-11-14T17:25:17.762836Z,342.0,C9B87HRO,4279,Yes,1 - 2 years,4-6,72,Female,White,United States,United States,United States,English,No,Part-Time
6553ac2859d7158b63cd1234,5ba4057af0741400010637b9,AWAITING REVIEW,2023-11-14T17:19:51.443000Z,2023-11-14T17:49:03.156000Z,,2023-11-14T17:49:03.606477Z,1752.0,C9B87HRO,1806,Yes,5+ years,2-3,61,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6553ac2d09c6a115bba370bb,5b50881a59119400018abaf3,AWAITING REVIEW,2023-11-14T17:19:47.754000Z,2023-11-14T17:23:22.001000Z,,2023-11-14T17:23:22.646404Z,215.0,C9B87HRO,3775,Yes,5+ years,4-6,41,Female,White,United States,United States,United States,English,No,Full-Time
6553ac5fc17b97e04110e384,5f8bad1242efeb2f49156f51,AWAITING REVIEW,2023-11-14T17:20:33.726000Z,2023-11-14T17:59:17.244000Z,,2023-11-14T17:59:17.914866Z,2324.0,C9B87HRO,2694,Yes,3 - 4 years,7-10,32,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
6553ac71734a93ef875c1ab9,6307f3c967020d1202332b77,AWAITING REVIEW,2023-11-14T17:20:58.603000Z,2023-11-14T17:33:25.354000Z,,2023-11-14T17:33:25.788302Z,747.0,C9B87HRO,291,Yes,1 - 2 years,>10,26,Male,White,United States,United States,United States,English,No,Full-Time
6553ac81d9d3c60da28bea98,65218b754dddc1ca107dd9c2,AWAITING REVIEW,2023-11-14T17:21:17.677000Z,2023-11-14T17:30:47.840000Z,,2023-11-14T17:30:48.249836Z,571.0,C9B87HRO,239,Yes,5+ years,2-3,45,Female,White,United States,United States,United States,English,No,Full-Time
6553ac8d4c066a89fdaf9d8c,652d461fa15fc7cb72f28e82,AWAITING REVIEW,2023-11-14T17:21:21.738000Z,2023-11-14T17:29:17.748000Z,,2023-11-14T17:29:18.249009Z,477.0,C9B87HRO,228,Yes,5+ years,2-3,51,Female,Black,United States,United States,United States,English,No,Full-Time
6553ac900a96ca2933b2cf38,59949236c825cf0001d7dcdc,AWAITING REVIEW,2023-11-14T17:21:30.672000Z,2023-11-14T17:32:23.757000Z,,2023-11-14T17:32:24.263238Z,654.0,C9B87HRO,5856,Yes,5+ years,>10,53,Male,White,United States,United States,United States,English,No,Full-Time
6553aca27e22d03d1fed74a4,5c8fa199208071000183d490,AWAITING REVIEW,2023-11-14T17:21:42.488000Z,2023-11-14T17:26:29.635000Z,,2023-11-14T17:26:30.279768Z,288.0,C9B87HRO,2467,Yes,5+ years,7-10,59,Female,White,United States,United States,United States,English,No,Full-Time
6553acc582c86e0942f38c6d,5f988a053b4bf5186a5d6693,AWAITING REVIEW,2023-11-14T17:22:29.022000Z,2023-11-14T17:29:27.136000Z,,2023-11-14T17:29:27.627139Z,419.0,C9B87HRO,2274,Yes,5+ years,7-10,54,Male,White,United States,United States,United States,English,No,Full-Time
6553acc7b47e469afb4a7793,5e0b388b15ef4037cebdecc9,AWAITING REVIEW,2023-11-14T17:22:18.645000Z,2023-11-14T17:26:13.365000Z,,2023-11-14T17:26:14.079825Z,235.0,C9B87HRO,1326,Yes,5+ years,2-3,51,Male,White,United States,United States,United States,English,No,Full-Time
6553acdc5b8458eb6db0219a,6234d77291179c1badffad36,AWAITING REVIEW,2023-11-14T17:26:26.642000Z,2023-11-14T17:32:13.375000Z,,2023-11-14T17:32:13.856903Z,347.0,C9B87HRO,2381,Yes,3 - 4 years,2-3,29,Male,White,United States,United States,United States,English,No,Full-Time
6553acf125afbe89b9be32fc,634027f949aab36bf66b50a3,AWAITING REVIEW,2023-11-14T17:23:00.999000Z,2023-11-14T17:36:05.770000Z,,2023-11-14T17:36:06.285297Z,785.0,C9B87HRO,3118,Yes,1 - 2 years,4-6,36,Male,White,United States,United States,United States,English,No,Full-Time
6553ad05f2e23eff9dea55ef,5c110067753adc00015913e3,AWAITING REVIEW,2023-11-14T17:23:26.217000Z,2023-11-14T17:34:43.603000Z,,2023-11-14T17:34:44.109322Z,678.0,C9B87HRO,3066,Yes,2 - 3 years,2-3,55,Female,White,United States,United States,United States,English,No,Full-Time
6553ad0609c6a115bba370db,60fe5defab667c1156a91e48,AWAITING REVIEW,2023-11-14T17:23:24.929000Z,2023-11-14T17:35:20.722000Z,,2023-11-14T17:35:21.297840Z,716.0,C9B87HRO,1480,Yes,2 - 3 years,4-6,25,Female,White,United States,United States,United States,English,No,Full-Time
6553ad1b11d509b1ad11d2b0,651ad403421d2fff5bb7df09,AWAITING REVIEW,2023-11-14T17:23:46.542000Z,2023-11-14T17:31:40.463000Z,,2023-11-14T17:31:40.911861Z,474.0,C9B87HRO,343,Yes,2 - 3 years,2-3,46,Female,White,United States,United States,United States,English,No,Part-Time
6553ad41efeb35c62406ccaf,6485009845ccd180b889dcb9,AWAITING REVIEW,2023-11-14T17:24:23.313000Z,2023-11-14T17:29:56.541000Z,,2023-11-14T17:29:57.127990Z,334.0,CG40C7DK,1308,Yes,5+ years,7-10,49,Female,White,United States,United States,United States,English,No,Full-Time
6553ad419c8c6f9b15012263,628e4993121877fe4ae59f29,AWAITING REVIEW,2023-11-14T17:28:47.400000Z,2023-11-14T17:43:37.503000Z,,2023-11-14T17:43:37.931657Z,891.0,C9B87HRO,2388,Yes,3 - 4 years,7-10,32,Male,White,United States,United States,United States,English,No,Full-Time
6553ad45f787b4be395565bf,63d7fb6ee49281f6c41d6630,AWAITING REVIEW,2023-11-14T17:25:15.630000Z,2023-11-14T17:29:42.870000Z,,2023-11-14T17:29:43.347126Z,268.0,C9B87HRO,2048,Yes,1 - 2 years,2-3,28,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
6553ad51a4f420911ac4a2a9,65464b7e526b25cfc1dfeeb2,AWAITING REVIEW,2023-11-14T17:24:36.317000Z,2023-11-14T17:29:06.703000Z,,2023-11-14T17:29:07.234611Z,271.0,C9B87HRO,87,Yes,2 - 3 years,4-6,30,Prefer not to say,Mixed,United States,United States,United States,English,No,Full-Time
6553ad6784875c7c76e19458,5df11e6cdc85350234932daa,AWAITING REVIEW,2023-11-14T17:25:01.547000Z,2023-11-14T17:35:53.384000Z,,2023-11-14T17:35:53.848279Z,652.0,C9B87HRO,3367,Yes,5+ years,7-10,40,Female,Black,United States,United States,United States,English,No,Full-Time
6553ad6b105734ed9c8f219c,63d4857d5c9e6f18b03027b3,AWAITING REVIEW,2023-11-14T17:25:06.295000Z,2023-11-14T17:30:50.012000Z,,2023-11-14T17:30:50.440973Z,344.0,C9B87HRO,838,Yes,5+ years,7-10,53,Male,White,United States,United States,United States,English,No,Full-Time
6553ad8b203f9715e0c4cfee,62961bfdbe5f238d3225db72,AWAITING REVIEW,2023-11-14T17:25:36.422000Z,2023-11-14T17:28:26.255000Z,,2023-11-14T17:28:26.796388Z,170.0,C9B87HRO,3983,Yes,5+ years,7-10,43,Female,White,United States,United States,United States,English,No,Full-Time
6553ad9c41ba349796c273d0,5dee44454d7bea4e3f4b44a6,AWAITING REVIEW,2023-11-14T17:25:52.869000Z,2023-11-14T17:30:00.888000Z,,2023-11-14T17:30:01.351256Z,249.0,C9B87HRO,5333,Yes,5+ years,>10,36,Female,White,United States,United States,United States,English,No,Full-Time
6553ad9defeb35c62406ccbf,5ea78fb30541cb0009e4d924,AWAITING REVIEW,2023-11-14T17:25:54.181000Z,2023-11-14T17:29:39.148000Z,,2023-11-14T17:29:39.698968Z,225.0,C9B87HRO,1453,Yes,5+ years,7-10,40,Female,White,United States,United States,United States,English,No,Full-Time
6553ada27e22d03d1fed74d1,5f504fd2cc049d1cbf29c40d,AWAITING REVIEW,2023-11-14T17:25:58.581000Z,2023-11-14T17:31:47.190000Z,,2023-11-14T17:31:47.643232Z,349.0,C9B87HRO,6445,Yes,5+ years,7-10,30,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6553adb8ccdc23a90e34ef62,6077cb38de8f5c783d413450,AWAITING REVIEW,2023-11-14T17:26:21.210000Z,2023-11-14T17:30:12.114000Z,,2023-11-14T17:30:12.631449Z,231.0,C9B87HRO,5759,Yes,5+ years,4-6,50,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6553adbec3d672c93750f1b8,653fe26ede361272b8f82397,AWAITING REVIEW,2023-11-14T17:26:30.384000Z,2023-11-14T17:32:45.760000Z,,2023-11-14T17:32:46.240089Z,376.0,C9B87HRO,99,Yes,5+ years,>10,48,Female,Mixed,United States,United States,United States,English,No,Full-Time
6553adc66eb3e37df953cfe5,62957302ad8c1756b553a298,AWAITING REVIEW,2023-11-14T17:26:35.923000Z,2023-11-14T17:34:41.187000Z,,2023-11-14T17:34:41.669732Z,486.0,C9B87HRO,3345,Yes,5+ years,2-3,58,Male,White,United States,United States,United States,English,No,Full-Time
